	K20934	K20933	K20932	K20935	K10535	K00371	K00370	K00368	K15864	K03385	K15876	K03320	K02598	K00362	K00363	K00372	K02575	K02189	K02188	K02006	K02007	K02008	K03386	K00428	K05919	K22405	K00958	K00394	K00395	K21816	K02497	K03594	K03711	K02635	K02636	K22225	K22226	K22227	K05565	K05566	K05567	K05568	K05569	K05571	K05299	K15022	K00330	K00331	K00332	K00333	K00337	K00338	K00339	K00340	K00341	K00342	K00343	K05575	K05577	K05579	K05580	K05583	K00346	K00347	K00348	K00349	K00350	K00351	K03612	K03613	K03614	K03615	K03616	K03617	K02108	K02109	K02110	K02111	K02112	K02113	K02114	K02115
GCA_002339595.1												002339595v1_01645,002339595v1_01734,002339595v1_02578											002339595v1_01079	002339595v1_00607,002339595v1_01708,002339595v1_00158,002339595v1_02089,002339595v1_00829								002339595v1_00584	002339595v1_02073,002339595v1_00735		002339595v1_02596			002339595v1_01525,002339595v1_01904									002339595v1_02734	002339595v1_01213	002339595v1_02735	002339595v1_02736	002339595v1_02737	002339595v1_02732	002339595v1_02738	002339595v1_02739	002339595v1_02740		002339595v1_02741						002339595v1_01921	002339595v1_01920	002339595v1_01919	002339595v1_01918	002339595v1_01248	002339595v1_01247							002339595v1_01687	002339595v1_01688			002339595v1_01691	002339595v1_01689	002339595v1_01692	002339595v1_01690
GCA_002698965.1												002698965v1_02019,002698965v1_03499,002698965v1_00412											002698965v1_01313	002698965v1_00627,002698965v1_04070,002698965v1_03645,002698965v1_02650								002698965v1_00313		002698965v1_02086	002698965v1_02085			002698965v1_01461,002698965v1_02139									002698965v1_00471	002698965v1_01182	002698965v1_00472	002698965v1_00473	002698965v1_00474	002698965v1_00469	002698965v1_00475	002698965v1_00476	002698965v1_00477	002698965v1_00478	002698965v1_01620						002698965v1_00373	002698965v1_00372	002698965v1_00371	002698965v1_00370	002698965v1_00369	002698965v1_00368											002698965v1_01820		002698965v1_01821	002698965v1_01819
GCA_015664845.1														015664845v1_02488		015664845v1_02091	015664845v1_02487							015664845v1_02199,015664845v1_02433									015664845v1_01277					015664845v1_01625,015664845v1_00596									015664845v1_00698		015664845v1_00699	015664845v1_00700	015664845v1_00701	015664845v1_00696	015664845v1_00702	015664845v1_00703	015664845v1_00704	015664845v1_00705	015664845v1_00706						015664845v1_01321	015664845v1_01322	015664845v1_01323	015664845v1_01324	015664845v1_01325	015664845v1_01326							015664845v1_02469	015664845v1_02468		015664845v1_02466	015664845v1_02464	015664845v1_02467	015664845v1_02463	015664845v1_02465
GCA_012965455.1												012965455v1_00750,012965455v1_01888				012965455v1_01660	012965455v1_02125							012965455v1_02555								012965455v1_02834	012965455v1_03032					012965455v1_00962,012965455v1_02486									012965455v1_02580,012965455v1_01733	012965455v1_00057	012965455v1_02579	012965455v1_02578	012965455v1_02577	012965455v1_02582	012965455v1_02575	012965455v1_02574	012965455v1_02543	012965455v1_02544,012965455v1_02349	012965455v1_02545						012965455v1_00206	012965455v1_00207	012965455v1_00208	012965455v1_00209	012965455v1_00210	012965455v1_00211							012965455v1_02974	012965455v1_02973		012965455v1_02971	012965455v1_02969	012965455v1_02972	012965455v1_02968	012965455v1_02970
GCA_003453025.1																								003453025v1_02533,003453025v1_00837										003453025v1_00701	003453025v1_00702			003453025v1_01614										003453025v1_01666		003453025v1_02177	003453025v1_02178		003453025v1_02179	003453025v1_02180	003453025v1_02318,003453025v1_02316	003453025v1_00255	003453025v1_02155						003453025v1_02634	003453025v1_02635	003453025v1_01534	003453025v1_01533	003453025v1_01532	003453025v1_01529							003453025v1_01286	003453025v1_01285	003453025v1_01156		003453025v1_02461	003453025v1_01284		003453025v1_02460
GCA_003486205.1												003486205v1_04855		003486205v1_01250										003486205v1_02847,003486205v1_02976,003486205v1_02425,003486205v1_00397,003486205v1_02625								003486205v1_02069	003486205v1_04517,003486205v1_03294	003486205v1_05373	003486205v1_05371			003486205v1_01758,003486205v1_02238									003486205v1_04001		003486205v1_04000	003486205v1_03999	003486205v1_00334	003486205v1_04003					003486205v1_03449						003486205v1_02136	003486205v1_02135	003486205v1_03434	003486205v1_03433	003486205v1_03432	003486205v1_04069							003486205v1_00987	003486205v1_03602	003486205v1_03601	003486205v1_03090		003486205v1_03603		003486205v1_03088
GCA_903905955.1												903905955v1_01452												903905955v1_03110,903905955v1_00503									903905955v1_02005,903905955v1_00321														903905955v1_00447	903905955v1_01369	903905955v1_01370	903905955v1_01371	903905955v1_01776	903905955v1_00449	903905955v1_01277	903905955v1_01276		903905955v1_01316,903905955v1_01928	903905955v1_01490																									
GCA_903925555.1												903925555v1_00393												903925555v1_00043									903925555v1_00529,903925555v1_01833																				903925555v1_00087	903925555v1_00086	903925555v1_02109	903925555v1_01640	903925555v1_01849																		903925555v1_01868		903925555v1_01867	903925555v1_00502				903925555v1_00504
GCA_014379445.1												014379445v1_04016,014379445v1_00552,014379445v1_03813				014379445v1_03136					014379445v1_02614			014379445v1_01118,014379445v1_03746,014379445v1_00968								014379445v1_00070,014379445v1_02585	014379445v1_04038		014379445v1_04139			014379445v1_00408,014379445v1_04036									014379445v1_01266,014379445v1_01560	014379445v1_01267,014379445v1_04627	014379445v1_01561,014379445v1_01268	014379445v1_04146,014379445v1_01269		014379445v1_00009	014379445v1_00008,014379445v1_01544	014379445v1_00007,014379445v1_01543		014379445v1_01307,014379445v1_02667,014379445v1_00835	014379445v1_01306,014379445v1_01322																		014379445v1_03319	014379445v1_03317					014379445v1_00245	
GCA_005778405.1					005778405v1_03067							005778405v1_00584,005778405v1_04532				005778405v1_01235	005778405v1_01237				005778405v1_01349			005778405v1_01090,005778405v1_03311,005778405v1_01739,005778405v1_03312								005778405v1_01648	005778405v1_02682,005778405v1_00963	005778405v1_00069	005778405v1_00070			005778405v1_00379,005778405v1_00965									005778405v1_04381,005778405v1_01193	005778405v1_04382	005778405v1_01192,005778405v1_04383	005778405v1_03182,005778405v1_04384	005778405v1_04388,005778405v1_04674	005778405v1_04389,005778405v1_01195	005778405v1_04390,005778405v1_04675	005778405v1_04391,005778405v1_04676	005778405v1_04392,005778405v1_04677	005778405v1_04678,005778405v1_04393	005778405v1_04679,005778405v1_04394																						005778405v1_02467		005778405v1_02468	
GCA_003563235.1	003563235v1_08831		003563235v1_08842,003563235v1_08833			003563235v1_03070	003563235v1_03071			003563235v1_08657		003563235v1_08915		003563235v1_04721						003563235v1_05022	003563235v1_05024	003563235v1_05023		003563235v1_00724,003563235v1_02993								003563235v1_00636	003563235v1_03299,003563235v1_01520	003563235v1_07267	003563235v1_07266,003563235v1_03074			003563235v1_08604,003563235v1_01546,003563235v1_08743,003563235v1_00922,003563235v1_00669,003563235v1_08878		003563235v1_04411	003563235v1_04412	003563235v1_04413,003563235v1_04414	003563235v1_04407	003563235v1_04409	003563235v1_05759,003563235v1_00736																		003563235v1_08957,003563235v1_01487	003563235v1_08956,003563235v1_01488	003563235v1_08955,003563235v1_01489	003563235v1_08954,003563235v1_01490	003563235v1_08953,003563235v1_01491	003563235v1_08952,003563235v1_01492	003563235v1_06845	003563235v1_06846	003563235v1_06844	003563235v1_06843,003563235v1_08286	003563235v1_06848	003563235v1_06847	003563235v1_01236	003563235v1_01238	003563235v1_01237	003563235v1_01239,003563235v1_04973	003563235v1_01232			003563235v1_01240,003563235v1_04972
GCA_003567525.1	003567525v1_04992		003567525v1_01583,003567525v1_04994			003567525v1_05814	003567525v1_05815			003567525v1_06893	003567525v1_06892	003567525v1_02127		003567525v1_01671						003567525v1_01961	003567525v1_01959	003567525v1_01960		003567525v1_01624,003567525v1_04654,003567525v1_01449									003567525v1_05539,003567525v1_03390	003567525v1_01752	003567525v1_01753,003567525v1_07179			003567525v1_01149,003567525v1_03354,003567525v1_00601,003567525v1_02628,003567525v1_03443,003567525v1_03858		003567525v1_06101	003567525v1_06102	003567525v1_06103,003567525v1_06104	003567525v1_06097	003567525v1_06099	003567525v1_04981,003567525v1_03337	003567525v1_03336																	003567525v1_05565	003567525v1_05566	003567525v1_05567,003567525v1_00792	003567525v1_05568,003567525v1_00791	003567525v1_05569,003567525v1_00790	003567525v1_05570	003567525v1_02316	003567525v1_02315	003567525v1_02317,003567525v1_00793	003567525v1_02318,003567525v1_02311	003567525v1_02313	003567525v1_02314	003567525v1_05314	003567525v1_05316	003567525v1_05315	003567525v1_05317	003567525v1_05310			003567525v1_05318,003567525v1_05092
GCA_003559955.1			003559955v1_02882,003559955v1_06173			003559955v1_01639	003559955v1_01640			003559955v1_05322		003559955v1_06116		003559955v1_00536						003559955v1_04433	003559955v1_05151	003559955v1_05152		003559955v1_08042,003559955v1_04931								003559955v1_07111	003559955v1_00091,003559955v1_00918	003559955v1_01370	003559955v1_01643			003559955v1_05198,003559955v1_03650,003559955v1_06998		003559955v1_06151	003559955v1_06152	003559955v1_06153,003559955v1_06154	003559955v1_06147	003559955v1_06149	003559955v1_07257,003559955v1_02272																		003559955v1_05980,003559955v1_03236	003559955v1_05979,003559955v1_03235	003559955v1_05978,003559955v1_03234	003559955v1_05977,003559955v1_03233	003559955v1_05976,003559955v1_03232	003559955v1_05975,003559955v1_03231	003559955v1_05699	003559955v1_05698	003559955v1_05700	003559955v1_05701,003559955v1_05881	003559955v1_05696	003559955v1_05697				003559955v1_04044	003559955v1_07490			003559955v1_04043,003559955v1_02979
GCA_007121535.1	007121535v1_01887		007121535v1_06551,007121535v1_01885			007121535v1_05490	007121535v1_05489			007121535v1_03239	007121535v1_03238			007121535v1_06739						007121535v1_04083	007121535v1_04085	007121535v1_04084		007121535v1_06902,007121535v1_04932,007121535v1_06480								007121535v1_03181	007121535v1_02866,007121535v1_00890	007121535v1_04172	007121535v1_04171,007121535v1_05486			007121535v1_04010,007121535v1_02731,007121535v1_07618,007121535v1_00929,007121535v1_06601		007121535v1_06255	007121535v1_06256	007121535v1_06257,007121535v1_06258	007121535v1_06251	007121535v1_06253	007121535v1_07555,007121535v1_06890																		007121535v1_00266	007121535v1_00267,007121535v1_04719	007121535v1_00268,007121535v1_04718	007121535v1_00269,007121535v1_04717	007121535v1_00270,007121535v1_04716	007121535v1_00271,007121535v1_04715		007121535v1_01058	007121535v1_01496	007121535v1_01497,007121535v1_06931	007121535v1_01060	007121535v1_01059	007121535v1_05808	007121535v1_05806	007121535v1_05807	007121535v1_05805	007121535v1_05812			007121535v1_05804
GCA_007135525.1			007135525v1_04221,007135525v1_03591			007135525v1_00597	007135525v1_00598			007135525v1_02851	007135525v1_02850	007135525v1_06633		007135525v1_05334						007135525v1_02481	007135525v1_02483	007135525v1_02482		007135525v1_02402,007135525v1_05238,007135525v1_03743									007135525v1_00114,007135525v1_07032		007135525v1_00601			007135525v1_05744,007135525v1_00135,007135525v1_04689,007135525v1_01483,007135525v1_07328		007135525v1_06646	007135525v1_06647	007135525v1_06648,007135525v1_06649	007135525v1_06642	007135525v1_06644	007135525v1_02173																		007135525v1_04819	007135525v1_04820,007135525v1_02167	007135525v1_04821,007135525v1_02168	007135525v1_04822,007135525v1_02169	007135525v1_04823,007135525v1_02170	007135525v1_04824,007135525v1_02171	007135525v1_00535	007135525v1_00536	007135525v1_00534	007135525v1_00533,007135525v1_00437		007135525v1_00537	007135525v1_06673	007135525v1_06675	007135525v1_06674	007135525v1_06676	007135525v1_06669			007135525v1_06677
GCA_007124655.1			007124655v1_03621,007124655v1_05331			007124655v1_05631	007124655v1_05632			007124655v1_02466	007124655v1_02465	007124655v1_05809		007124655v1_06921						007124655v1_03818	007124655v1_03816	007124655v1_03817		007124655v1_05357,007124655v1_02072,007124655v1_04489								007124655v1_00920	007124655v1_05842,007124655v1_04798	007124655v1_01062	007124655v1_01061,007124655v1_05635			007124655v1_06615,007124655v1_00698,007124655v1_01491		007124655v1_04426	007124655v1_04425	007124655v1_04424,007124655v1_04423	007124655v1_04430	007124655v1_04428	007124655v1_00918,007124655v1_05369	007124655v1_05370																	007124655v1_05141	007124655v1_05140	007124655v1_05139,007124655v1_06799	007124655v1_05138,007124655v1_06800	007124655v1_05137,007124655v1_06801	007124655v1_05136,007124655v1_06802	007124655v1_05954	007124655v1_05953	007124655v1_05955	007124655v1_05956,007124655v1_04414	007124655v1_05951	007124655v1_05952	007124655v1_07455	007124655v1_07453	007124655v1_07454	007124655v1_07452,007124655v1_00874	007124655v1_07459			007124655v1_07451,007124655v1_00873
GCA_007129635.1			007129635v1_03421									007129635v1_03566		007129635v1_01330										007129635v1_00796								007129635v1_00360	007129635v1_01206					007129635v1_03176,007129635v1_03169		007129635v1_03728	007129635v1_03729	007129635v1_03731,007129635v1_03730,007129635v1_03732	007129635v1_03724	007129635v1_03726	007129635v1_01760																		007129635v1_01639	007129635v1_01640,007129635v1_04112	007129635v1_04113	007129635v1_04114	007129635v1_04115	007129635v1_04116	007129635v1_03664	007129635v1_03663	007129635v1_03665	007129635v1_03666						007129635v1_00200	007129635v1_00202			
GCA_007132045.1										007132045v1_00600		007132045v1_00616								007132045v1_00535				007132045v1_02372								007132045v1_01297	007132045v1_00559	007132045v1_00161	007132045v1_00162			007132045v1_02610,007132045v1_02233																											007132045v1_02198	007132045v1_02199	007132045v1_02200	007132045v1_02201	007132045v1_01390	007132045v1_01389	007132045v1_02197	007132045v1_01818	007132045v1_01387	007132045v1_01388								
GCA_007695205.1			007695205v1_01944,007695205v1_00233							007695205v1_04518	007695205v1_04519	007695205v1_05449		007695205v1_02232				007695205v1_04116	007695205v1_03670	007695205v1_05477	007695205v1_05479	007695205v1_05478		007695205v1_01830,007695205v1_00711,007695205v1_04772,007695205v1_05349								007695205v1_00749	007695205v1_01149,007695205v1_02492	007695205v1_03378	007695205v1_03379			007695205v1_00318,007695205v1_02831		007695205v1_00030	007695205v1_00029	007695205v1_00027,007695205v1_00028,007695205v1_00026	007695205v1_00034	007695205v1_00032	007695205v1_01392,007695205v1_02328																		007695205v1_00002,007695205v1_02759	007695205v1_00003,007695205v1_02760	007695205v1_00004,007695205v1_02761	007695205v1_00005,007695205v1_02762	007695205v1_00006	007695205v1_00007,007695205v1_01390	007695205v1_00798	007695205v1_00799	007695205v1_00797	007695205v1_00796,007695205v1_00978	007695205v1_00801	007695205v1_00800	007695205v1_04467	007695205v1_04465	007695205v1_04466	007695205v1_04463	007695205v1_02237,007695205v1_04471			007695205v1_04462
GCA_007133715.1	007133715v1_02425		007133715v1_00784							007133715v1_02341	007133715v1_02342	007133715v1_03284								007133715v1_01017		007133715v1_01016		007133715v1_00689								007133715v1_03391	007133715v1_01063					007133715v1_02683		007133715v1_00429	007133715v1_00430		007133715v1_00425	007133715v1_00427	007133715v1_02431																		007133715v1_01907	007133715v1_01906	007133715v1_01905	007133715v1_01904	007133715v1_01903	007133715v1_01902	007133715v1_02635	007133715v1_02634	007133715v1_02636	007133715v1_02637,007133715v1_00585	007133715v1_02632	007133715v1_02633								
GCA_003562015.1			003562015v1_01165							003562015v1_01831	003562015v1_01832	003562015v1_03080		003562015v1_00273						003562015v1_01370	003562015v1_01367	003562015v1_01369		003562015v1_01604,003562015v1_01745,003562015v1_01005									003562015v1_00918,003562015v1_03492					003562015v1_03487,003562015v1_04317		003562015v1_04053	003562015v1_04052	003562015v1_03297	003562015v1_04057	003562015v1_04055																			003562015v1_04217							003562015v1_02957	003562015v1_00519	003562015v1_00520,003562015v1_01617	003562015v1_02955	003562015v1_02956				003562015v1_02259				
GCA_007124535.1	007124535v1_01684									007124535v1_00393	007124535v1_00392	007124535v1_00881		007124535v1_01929						007124535v1_00904		007124535v1_00905		007124535v1_01801,007124535v1_03259														007124535v1_00487,007124535v1_00642				007124535v1_02108,007124535v1_02107			007124535v1_01061																			007124535v1_02759	007124535v1_02760	007124535v1_02761	007124535v1_02762	007124535v1_02763	007124535v1_00582	007124535v1_00581	007124535v1_00583	007124535v1_00584,007124535v1_02529	007124535v1_00579	007124535v1_00580								
